,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu,Depo_Hacmi_Kullanabilirliği,Ters_Motor_Gücü,Yakıt_Ekonomisi,Engine_Ratio
157,6,185000.0,1598,120,4.0,66.0,1450000,14.187074114396758,False,False,False,False,False,True,1.5,1,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
158,8,106000.0,1197,90,4.7,45.0,745000,13.521139497361697,False,False,False,False,False,True,1.0,1,9.574468085106382,0.011111111111111112,0.052222222222222225,13.3
161,7,50000.0,1395,150,4.7,50.0,1135000,13.94214320889764,False,False,False,False,False,True,1.5,0,10.638297872340425,0.006666666666666667,0.03133333333333334,9.3
162,4,30000.0,1598,95,3.9,40.0,967000,13.781953774435431,False,False,False,False,False,True,1.5,0,10.256410256410257,0.010526315789473684,0.04105263157894737,16.821052631578947
168,12,178000.0,1598,105,4.7,55.0,695000,13.45166712454693,False,False,False,False,False,True,1.5,0,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
169,10,250000.0,1598,105,4.7,55.0,765000,13.547631112808673,False,False,False,False,False,True,1.5,1,11.702127659574467,0.009523809523809525,0.04476190476190477,15.219047619047618
170,7,63000.0,1395,150,5.1,66.0,1090000,13.901688254205327,False,False,False,False,False,True,1.5,0,12.941176470588236,0.006666666666666667,0.034,9.3
171,13,195000.0,1390,122,5.9,55.0,687500,13.440817108522863,False,False,False,False,False,True,1.5,0,9.322033898305085,0.00819672131147541,0.04836065573770492,11.39344262295082
172,7,173000.0,1598,110,3.9,50.0,835000,13.635187003832993,False,False,False,False,False,True,1.5,0,12.820512820512821,0.00909090909090909,0.035454545454545454,14.527272727272727
173,11,275000.0,1197,105,5.7,55.0,669000,13.413539339110365,False,False,False,False,False,True,1.0,1,9.649122807017543,0.009523809523809525,0.05428571428571429,11.4
174,6,249000.0,1598,120,4.0,66.0,950000,13.764217263576723,False,False,False,False,False,True,1.5,0,16.5,0.008333333333333333,0.03333333333333333,13.316666666666666
175,12,253000.0,1390,122,6.2,55.0,510000,13.142166004700508,False,False,False,False,False,True,1.0,0,8.870967741935484,0.00819672131147541,0.05081967213114755,11.39344262295082
