;Ürün Kodu;Marka;Seri;Model;Araç Yılı;Kilometre;Vites Tipi;Yakıt Tipi;Kasa Tipi;Renk;Motor Hacmi;Motor Gücü;Çekiş Tipi;Ortalama Yakıt Tüketimi;Depo Hacmi;Boya/Değişen Bilgisi;Fiyat
296;23751946;Skoda;Fabia;1.6 TDI Ambiente;2012;198.100 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;2 değişen, 3 boyalı;440.000
1194;23501033;Skoda;Fabia;1.6 TDI Scout;2012;48.500 km;Düz;Dizel;Station wagon;Gri;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;1 değişen;780.000
826;23635869;Skoda;Fabia;1.6 TDI Ambiente;2011;153.000 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;4 boyalı;550.000
1111;23543261;Skoda;Fabia;1.6 TDI Ambiente Dinamik;2011;153.000 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;Belirtilmemiş;550.000
965;23599496;Skoda;Fabia;1.6 TDI Ambiente;2011;185.000 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;6 boyalı;450.000
1184;23506261;Skoda;Fabia;1.6 TDI Ambiente;2011;210.000 km;Düz;Dizel;Hatchback/5;Beyaz;1598 cc;90 hp;Önden Çekiş;4,2 lt;45 lt;1 boyalı;610.000
848;23627974;Skoda;Fabia;1.2 TSI Style;2017;75.000 km;Düz;Benzin;Hatchback/5;Mavi (metalik);1197 cc;90 hp;Önden Çekiş;4,7 lt;45 lt;3 boyalı;700.000
192;23763709;Skoda;Fabia;1.2 TSI Style;2016;239.000 km;Düz;Benzin;Hatchback/5;Beyaz;1197 cc;90 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";622.000
830;23632962;Skoda;Fabia;1.2 TSI Ambition;2016;82.000 km;Düz;Benzin;Hatchback/5;Beyaz;1197 cc;90 hp;Önden Çekiş;4,7 lt;45 lt;6 değişen;600.000
1001;23224166;Skoda;Fabia;1.2 TSI Style;2015;119.000 km;Düz;Benzin;-;Hatchback/5;1197 cc;90 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";755.000
954;23602456;Skoda;Fabia;1.2 TSI Style;2015;135.000 km;Düz;Benzin;Hatchback/5;Beyaz;1197 cc;90 hp;Önden Çekiş;4,7 lt;45 lt;"
Tamamı orjinal
";701.000
841;23631695;Skoda;Fabia;1.4 Ambiente;2012;168.000 km;Düz;Benzin;Hatchback/5;Beyaz;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;Belirtilmemiş;555.000
472;23722134;Skoda;Fabia;1.4 Ambiente Dynamic;2011;170.000 km;Düz;Benzin;Hatchback/5;Beyaz;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;Belirtilmemiş;490.000
22;23793959;Skoda;Fabia;1.4 Ambiente Dynamic;2011;218.000 km;Düz;Benzin;Hatchback/5;Beyaz;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;2 değişen, 3 boyalı;445.500
1201;23498329;Skoda;Fabia;1.4 Scout;2011;90.000 km;Düz;Benzin;Station wagon;Bej;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;1 boyalı;625.000
966;23599348;Skoda;Fabia;1.4 Elegance;2013;171.000 km;Düz;LPG & Benzin;Hatchback/5;Siyah;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;1 değişen, 7 boyalı;550.000
1257;22661324;Skoda;Fabia;1.4 Scout;2013;187.000 km;Düz;LPG & Benzin;Station wagon;Beyaz;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;1 değişen;590.000
223;23762086;Skoda;Fabia;1.4 Scout;2012;63.500 km;Düz;LPG & Benzin;Station wagon;Beyaz;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;1 değişen, 3 boyalı;580.000
955;23601995;Skoda;Fabia;1.4 Ambiente Dynamic;2011;152.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;"
Tamamı orjinal
";500.000
546;23708934;Skoda;Fabia;1.4 Ambiente;2011;199.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;2 boyalı;495.000
1073;23559375;Skoda;Fabia;1.4 Classic;2010;172.000 km;Düz;LPG & Benzin;Station wagon;Gri;1390 cc;85 hp;Önden Çekiş;6,6 lt;45 lt;"
Tamamı orjinal
";685.000
1268;23468975;Skoda;Fabia;1.4 Ambiente Dynamic;2010;220.000 km;Düz;LPG & Benzin;Hatchback/5;Beyaz;1390 cc;85 hp;Önden Çekiş;5,9 lt;45 lt;1 değişen, 5 boyalı;507.000
1224;23490877;Skoda;Fabia;1.4 Ambiente;2010;223.000 km;Düz;LPG & Benzin;Hatchback/5;Gri (metalik);1390 cc;85 hp;Önden Çekiş;6,5 lt;45 lt;5 boyalı;475.000
766;23497995;Skoda;Fabia;1.4 TDI Classic;2010;280.000 km;Düz;Dizel;Hatchback/5;Kırmızı;1422 cc;80 hp;Önden Çekiş;4,6 lt;45 lt;2 değişen, 5 boyalı;455.000
865;23626107;Skoda;Fabia;1.0 Ambition;2018;60.000 km;Düz;Benzin;Hatchback/5;Turkuaz;999 cc;75 hp;Önden Çekiş;4,8 lt;45 lt;"
Tamamı orjinal
";799.000
91;23780424;Skoda;Fabia;1.0 GreenTec Ambition;2017;145.000 km;Düz;Benzin;Hatchback/5;Beyaz;999 cc;75 hp;Önden Çekiş;4,8 lt;45 lt;"
Tamamı orjinal
";615.000
783;23302888;Skoda;Fabia;1.0 GreenTec Ambition;2016;118.000 km;Düz;Benzin;Hatchback/5;Beyaz;999 cc;75 hp;Önden Çekiş;4,8 lt;45 lt;1 boyalı;570.000
213;23763276;Skoda;Fabia;1.0 GreenTec Ambition;2016;196.000 km;Düz;Benzin;Hatchback/5;Beyaz;999 cc;75 hp;Önden Çekiş;4,8 lt;45 lt;1 boyalı;522.500
623;23692308;Skoda;Fabia;1.0 GreenTec Ambition;2016;63.000 km;Düz;Benzin;Hatchback/5;Kırmızı;999 cc;75 hp;Önden Çekiş;4,8 lt;45 lt;Belirtilmemiş;608.000
1117;23542033;Skoda;Fabia;1.0 GreenTec Ambition;2016;87.000 km;Düz;Benzin;-;Hatchback/5;999 cc;75 hp;Önden Çekiş;4,8 lt;45 lt;1 değişen;600.000
869;22849806;Skoda;Fabia;1.0 GreenTec Ambition;2015;70.000 km;Düz;Benzin;Hatchback/5;Mavi;999 cc;75 hp;Önden Çekiş;4,8 lt;45 lt;Belirtilmemiş;625.000
925;23614173;Skoda;Fabia;1.0 GreenTec Ambition;2018;141.000 km;Düz;LPG & Benzin;Hatchback/5;Mavi;999 cc;75 hp;Önden Çekiş;4,8 lt;45 lt;1 boyalı;630.000
803;23485567;Skoda;Fabia;1.4 TDI Classic;2010;250.000 km;Düz;Dizel;Hatchback/5;Siyah;1422 cc;70 hp;Önden Çekiş;4,8 lt;45 lt;Belirtilmemiş;435.000
784;23649718;Skoda;Fabia;1.2 Ambiente;2014;118.000 km;Düz;Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;2 değişen, 5 boyalı;505.000
1262;23356798;Skoda;Fabia;1.2 Ambition;2014;99.000 km;Düz;Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;"
Tamamı orjinal
";570.000
1127;23534221;Skoda;Fabia;1.2 Ambition;2013;91.300 km;Düz;Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;1 değişen, 2 boyalı;520.000
1066;23561461;Skoda;Fabia;1.2 Ambiente;2012;145.000 km;Düz;Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;1 değişen, 2 boyalı;507.000
829;23271456;Skoda;Fabia;1.2 Ambiente;2011;142.000 km;Düz;Benzin;Hatchback/5;Beyaz;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;1 boyalı;525.000
1151;23147716;Skoda;Fabia;1.2 Ambiente;2011;97.000 km;Düz;Benzin;Hatchback/5;Mavi;1198 cc;70 hp;Önden Çekiş;5,5 lt;45 lt;5 boyalı;535.000
